  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   2686  -0.59420      0.0000000000    -14.375781      0.0000000000      639.9999999999
   2696  -0.59320      0.0000000000    -14.348569      0.0000000000      639.9999999999
   2706  -0.59220      0.0000000000    -14.321358      0.0000000000      639.9999999999
   2716  -0.59120      0.0000000000    -14.294146      0.0000000000      639.9999999999
   2726  -0.59020      0.0000000000    -14.266935      0.0000000000      639.9999999999
   2736  -0.58920      0.0000000000    -14.239724      0.0000000000      639.9999999999
   2746  -0.58820      0.0000000000    -14.212512      0.0000000000      639.9999999999
   2756  -0.58720      0.0000000000    -14.185301      0.0000000000      639.9999999999
   2766  -0.58620      0.0000000000    -14.158089      0.0000000000      639.9999999999
   2776  -0.58520      0.0000000000    -14.130878      0.0000000000      639.9999999999
   2786  -0.58420      0.0000000000    -14.103667      0.0000000000      639.9999999999
   2796  -0.58320      0.0000000000    -14.076455      0.0000000000      639.9999999999
   2806  -0.58220      0.0000000000    -14.049244      0.0000000000      639.9999999999
   2816  -0.58120      0.0000000000    -14.022032      0.0000000000      639.9999999999
   2826  -0.58020      0.0000000000    -13.994821      0.0000000000      639.9999999999
   2836  -0.57920      0.0000000000    -13.967610      0.0000000000      639.9999999999
   2846  -0.57820      0.0000000000    -13.940398      0.0000000000      639.9999999999
   2856  -0.57720      0.0000000000    -13.913187      0.0000000000      639.9999999999
   2866  -0.57620      0.0000000000    -13.885975      0.0000000000      639.9999999999
   2876  -0.57520      0.0000000000    -13.858764      0.0000000000      639.9999999999
   2886  -0.57420      0.0000000000    -13.831553      0.0000000000      639.9999999999
   2896  -0.57320      0.0000000000    -13.804341      0.0000000000      639.9999999999
   2906  -0.57220      0.0000000000    -13.777130      0.0000000000      639.9999999999
   2916  -0.57120      0.0000000000    -13.749918      0.0000000000      639.9999999999
   2926  -0.57020      0.0000000000    -13.722707      0.0000000000      639.9999999999
   2936  -0.56920      0.0000000000    -13.695496      0.0000000000      639.9999999999
   2946  -0.56820      0.0000000000    -13.668284      0.0000000000      639.9999999999
   2956  -0.56720      0.0000000000    -13.641073      0.0000000000      639.9999999999
   2966  -0.56620      0.0000000000    -13.613861      0.0000000000      639.9999999999
   2976  -0.56520      0.0000000000    -13.586650      0.0000000000      639.9999999999
   2986  -0.56420      0.0000000000    -13.559439      0.0000000000      639.9999999999
   2996  -0.56320      0.0000000000    -13.532227      0.0000000000      639.9999999999
   3006  -0.56220      0.0000000000    -13.505016      0.0000000000      639.9999999999
   3016  -0.56120      0.0000000000    -13.477805      0.0000000000      639.9999999999
   3026  -0.56020      0.0000000000    -13.450593      0.0000000000      639.9999999999
   3036  -0.55920      0.0000000000    -13.423382      0.0000000000      639.9999999999
   3046  -0.55820      0.0000000000    -13.396170      0.0000000000      639.9999999999
   3056  -0.55720      0.0000000000    -13.368959      0.0000000000      639.9999999999
   3066  -0.55620      0.0000000000    -13.341748      0.0000000000      639.9999999999
   3076  -0.55520      0.0000000000    -13.314536      0.0000000000      639.9999999999
   3086  -0.55420      0.0000000000    -13.287325      0.0000000000      639.9999999999
   3096  -0.55320      0.0000000000    -13.260113      0.0000000000      639.9999999999
