 --- primitive lattice vectors ---
    32   0.0384518316 -0.0180921442  0.0543504620
    33   0.1831009156  0.0148259069  0.1740078983
    34  -0.1273832685 -0.0322235495 -0.1022481317
    35  -0.0139538261  0.0407407046 -0.0581581683
    36  -0.0162909551 -0.0070513718 -0.0289376436
    37   0.1200763811  0.0024045569  0.1128258289
    38  -0.0922655744  0.0392591509 -0.1444185485
    39   0.0308881141  0.0578285589 -0.0288579526
    40  -0.0413350156  0.0062287193 -0.0571586840
    41  -0.0717083784 -0.0194592736 -0.1138299490
    42   0.0716761108  0.1346571751  0.0906371724
    43  -0.0308111285 -0.0542170564 -0.0690524596
    44  -0.0342740702  0.0888731223  0.0805933848
    45  -0.0481145493  0.0242253507 -0.0058794159
    46   0.0061069253 -0.0079182464  0.0176426262
    47  -0.0572147714 -0.0181301867 -0.0229375004
    48   0.0033705748  0.0476284562  0.0145455582
    49  -0.0771801678 -0.0117342880 -0.2086710476
    50   0.1458373302  0.0968691583  0.1868356807
    51  -0.0210706985 -0.0752284697 -0.0476474076
    52   0.0335613405  0.0428638505  0.0801126211
